,ratings,Bold,Tannic,Sweet,Alcohol content,contain_eggs,contain_milk,Type_dessert,Type_fortified,Type_red,Type_rose,Type_sparkling,Type_white
274,4.2,43.4135,20.5213,3.75678,13.5890593,0,0,0,0,1,0,0,0
275,4.2,85,33.4012,29.1874,14.5,0,0,0,0,1,0,0,0
276,4.2,85,28.7797,36.9814,15.7,0,0,0,0,1,0,0,0
277,4.2,37.9106,21.3087,1.62939,14.5,0,0,0,0,1,0,0,0
278,4.2,33.0805,25.6033,11.3335,13.5,0,0,0,0,1,0,0,0
279,4.2,41.0271,28.7044,7.6678,13.8,0,0,0,0,1,0,0,0
280,4.2,48.517,39.804,7.1972,13.5890593,0,0,0,0,1,0,0,0
281,4.2,85,54.8123,11.9819,14.9,0,0,0,0,1,0,0,0
282,4.2,85,59.0402,0.565963,13.5890593,0,0,0,0,1,0,0,0
283,4.2,48.2888,22.1288,17.819,15,0,0,0,0,1,0,0,0
284,4.2,85,53.6813,6.12491,14.7,0,0,0,0,1,0,0,0
285,4.2,85,38.0199,30.7232,13.5,0,0,0,0,1,0,0,0
286,4.2,85,51.5448,16.6939,13.9,0,0,0,0,1,0,0,0
287,4.2,61.9529,38.0766,14.6648,14.3,0,0,0,0,1,0,0,0
288,4.2,85,52.0428,10.7224,15,0,0,0,0,1,0,0,0
289,4.2,22.372,21.681,6.35599,13.5890593,0,0,0,0,1,0,0,0
290,4.2,77.0961,57.3589,5.625,13.5890593,0,0,0,0,1,0,0,0
291,4.2,85,53.8572,13.5007,13.5890593,0,0,0,0,1,0,0,0
292,4.2,66.5214,56.7599,5.14499,13.5,0,0,0,0,1,0,0,0
293,4.2,42.727,17.4674,4.79413,14.5,0,0,0,0,1,0,0,0
294,4.2,67.1675,53.399,17.061,13.5890593,0,0,0,0,1,0,0,0
295,4.2,85,58.2207,3.22068,14.2,0,0,0,0,1,0,0,0
296,4.2,85,65.264,23.1939,13.5890593,0,0,0,0,1,0,0,0
297,4.2,85,51.9979,11.7713,14.6,0,0,0,0,1,0,0,0
298,4.2,84.1939,28.6043,30.9532,14.6,0,0,0,0,1,0,0,0
299,4.2,42.1545,19.6907,7.77956,14,0,0,0,0,1,0,0,0
300,4.2,85,48.809,6.556,13.5890593,0,0,0,0,1,0,0,0
301,4.2,47.7751,17.794,6.73023,14.2,0,0,0,0,1,0,0,0
302,4.2,44.427,50.1248,22.9969,13.5,0,0,0,0,1,0,0,0
303,4.2,29.172,3.64516,48.83179461,12.8,0,0,0,0,1,0,0,0
304,4.2,61.3773,16.7283,24.3213,13.5890593,0,0,0,0,1,0,0,0
305,4.2,85,52.4429,48.83179461,13.5890593,0,0,0,0,1,0,0,0
306,4.2,24.3899,22.2436,2.49213,13.3,0,0,0,0,1,0,0,0
307,4.2,21.8087,19.3888,3.48669,14.2,0,0,0,0,1,0,0,0
308,4.2,24.5146,18.8488,7.04082,13.5890593,0,0,0,0,1,0,0,0
309,4.2,85,48.9773,2.84091,13.5890593,0,0,0,0,1,0,0,0
310,4.2,85,29.6653,30.3088,15.9,0,0,0,0,1,0,0,0
311,4.2,47.8266,20.9683,4.47888,14.5,0,0,0,0,1,0,0,0
312,4.2,73.1747,37.3141,14.355,13.5890593,0,0,0,0,1,0,0,0
313,4.2,67.9109,44.6301,48.83179461,14.5,0,0,0,0,1,0,0,0
314,4.2,85,29.8072,31.6036,16.1,0,0,0,0,1,0,0,0
315,4.1,85,29.4637,30.0338,13.5890593,0,0,0,0,1,0,0,0
316,4.2,85,52.6847,10.8574,14.7,0,0,0,0,1,0,0,0
317,4.2,32.1396,24.2683,5.42425,12.5,0,0,0,0,1,0,0,0
318,4.2,85,39.8605,32.1463,14.5,0,0,0,0,1,0,0,0
319,4.2,84.693,56.0023,9.01651,13.5890593,0,0,0,0,1,0,0,0
320,4.2,66.1973,56.5019,15.7076,15,0,0,0,0,1,0,0,0
321,4.2,76.9864,54.203,48.83179461,13.5,0,0,0,0,1,0,0,0
